cntr_01  dist_x    pang_x       ra_01       dec_01      name_01         designation          ra           dec          sigra   sigdec  sigradec  glon         glat         w1mpro  w1sigmpro  w1snr   w1rchi2    w2mpro  w2sigmpro  w2snr   w2rchi2    w3mpro  w3sigmpro  w3snr   w3rchi2   w4mpro  w4sigmpro  w4snr   w4rchi2 
     80  1.318977   117.557025  241.188830  1.297500    PKS1602+01      J160445.39+011750.3  241.1891549  1.2973305    0.0497  0.0489   -0.0074  12.1821038   37.0043575   14.240      0.026    41.6   0.982000  13.129      0.027    39.9   0.903000  10.325      0.073    14.8  1.043000   7.521      0.152     7.2  1.100000
     81  0.289206  -163.432993  244.455290  -77.288390  J161749-771718  J161749.24-771718.4  244.4551859  -77.2884670  0.0392  0.0384   -0.0073  313.4305343  -18.8536575  13.262      0.024    45.2   1.033000  12.243      0.023    47.8   1.110000  9.097       0.029    37.2  1.130000   6.591      0.056    19.3  1.051000
     82  0.179246   -81.220080  246.445380  -25.460640  PKS1622-253     J162546.87-252738.2  246.4453255  -25.4606324  0.0417  0.0421   -0.0071  352.1403191  16.3187818   12.479      0.025    43.1   7.899000  11.393      0.023    47.8   2.534000  8.472       0.042    25.6  0.926200   5.782      0.087    12.5  1.118000
     83  0.115340   -26.390046  266.106040  -51.745500  PKS1740-517     J174425.44-514443.6  266.1060170  -51.7454713  0.0572  0.0593   -0.0104  340.1610063  -11.4918181  14.391      0.031    35.3   1.424000  13.341      0.031    35.1   0.772400  10.493      0.084    13.0  1.034000   7.928      0.187     5.8  0.948400
     84  1.255241   -25.236046  278.416460  -21.061440  J183339-210341  J183339.91-210340.0  278.4163007  -21.0611246  0.0386  0.0367    0.0039  12.1656894   -5.7115728   12.223      0.025    43.1  44.330002  11.246      0.021    51.7  14.310000  8.093       0.033    33.2  7.005000   5.221      0.029    37.2  3.587000
     85  1.223254   -51.095126  287.790460  -20.115440  J191109-200655  J191109.64-200654.8  287.7901784  -20.1152266  0.0453  0.0463   -0.0061  16.8744291   -13.2172988  13.158      0.027    39.5  21.320000  12.461      0.027    40.3   1.590000  7.204       0.028    38.7  1.900000   -          -          -   -           
     86  0.682293   -85.551582  295.312790  -15.408690  PKS1938-15      J194115.02-152431.2  295.3125940  -15.4086753  0.0545  0.0559   -0.0099  24.3730402   -17.8287887  14.014      0.030    36.3   1.810000  13.039      0.029    37.0   1.108000  10.413      0.088    12.3  0.864700   7.831      0.210     5.2  1.037000
     87  0.059210  -141.100139  302.809290  -6.734280   PKS2008-068     J201114.22-064403.4  302.8092796  -6.7342928   0.0893  0.0931   -0.0123  36.0064821   -20.7956330  14.962      0.037    29.0   1.261000  14.628      0.059    18.4   0.937100  12.469      0.526     2.1  0.861500   8.924      -         0.1  0.975100
     88  0.441248   -53.212676  314.068330  -47.246640  J205616-471447  J205616.36-471447.6  314.0681854  -47.2465666  0.0347  0.0338   -0.0034  352.5905145  -40.3812886  12.862      0.024    46.0   5.455000  11.572      0.021    52.1   5.640000  8.018       0.020    53.9  1.400000   5.485      0.037    29.5  1.003000
     89  0.164757   166.493592  322.300750  -15.644720  PKS2126-158     J212912.18-153841.1  322.3007611  -15.6447645  0.0445  0.0438   -0.0098  35.9295196   -41.8679882  13.338      0.025    43.0   1.450000  12.645      0.027    40.5   1.020000  9.102       0.033    32.6  0.780700   6.765      0.095    11.4  0.877800
